Concept,UW-58 Colors,True Rating,Top50_Ball,Top50_Sector,Top50_Sector+Category,Photo50_Ball,Photo50_Sector,Photo50_Sector+Category,Cartoon50_Ball,Cartoon50_Sector,Cartoon50_Sector+Category,Lin et al
orange,23,0.051481481,0.181169333,0.149674224,0.149492735,0.183400474,0.152364229,0.146958275,0.188241888,0.154574366,0.151672527,0.00175822
orange,24,0.083009259,0.188096148,0.151153441,0.146589158,0.192589358,0.155572997,0.150429591,0.197761534,0.158285583,0.156411552,0.001361315
orange,25,0.072407407,0.186764737,0.147168624,0.144029924,0.194530297,0.155696493,0.150438721,0.197512027,0.162358605,0.159204738,0.002289773
orange,26,0.102916667,0.170435488,0.152353867,0.146075967,0.169802264,0.157506064,0.150454305,0.139389302,0.190390305,0.173419986,0.002279972
orange,27,0.106111111,0.162511806,0.151252743,0.149234486,0.160472385,0.154480308,0.156364271,0.133581027,0.187087663,0.199481663,3.58E-06
orange,28,0.122916667,0.189025124,0.15470718,0.162190671,0.197956341,0.168824914,0.178719514,0.196469909,0.156864964,0.155942407,0.000526956
orange,29,0.176666667,0.187867309,0.154893665,0.149542574,0.203339102,0.171926762,0.166050755,0.198475865,0.15837637,0.151712316,0.000449227
orange,30,0.183842593,0.167585064,0.152376213,0.147650302,0.171099957,0.162611431,0.159439281,0.136935688,0.156943018,0.150513161,0.000741487
orange,31,0.184814815,0.175460719,0.158876269,0.152197493,0.186992053,0.180187648,0.171533747,0.178299718,0.162192178,0.154370477,0.001243909
orange,32,0.165092593,0.172967189,0.192653376,0.173620184,0.176355917,0.206721447,0.188373952,0.17547131,0.235380333,0.201363907,0.001017401
orange,33,0.126990741,0.178009739,0.152681462,0.150907608,0.18180586,0.163496197,0.162233842,0.189477908,0.166123179,0.163937878,0.008006077
orange,34,0.129490741,0.184422864,0.158672908,0.154774025,0.187354636,0.172543182,0.168154334,0.194452602,0.176829154,0.171913316,0.01603726
orange,35,0.148333333,0.197553509,0.164244667,0.158125632,0.198265366,0.175479044,0.169478759,0.208849113,0.203228597,0.185597544,0.009003116
orange,36,0.119027778,0.173813861,0.160098146,0.155868584,0.176511195,0.165248387,0.163124972,0.179257984,0.171218678,0.16736312,0.008980989
orange,37,0.143796296,0.195585366,0.179274657,0.179178363,0.202823886,0.193818616,0.19660126,0.20264326,0.179603411,0.171924748,0.023505719
orange,38,0.209490741,0.215916936,0.235950812,0.215747062,0.229921493,0.255112935,0.236247693,0.218439732,0.214613417,0.195362039,0.01400347
orange,39,0.291111111,0.206832254,0.244730983,0.237386906,0.213174281,0.260492295,0.251815344,0.1647516,0.248142584,0.2451582,0.005874484
orange,40,0.444953704,0.201258484,0.233793811,0.2113875,0.220759633,0.255690264,0.235731721,0.198397338,0.187942159,0.177070706,0.027071417
orange,41,0.53,0.25092249,0.314103835,0.266266901,0.270237871,0.343553538,0.294070602,0.225019607,0.272837071,0.232893158,0.019196053
orange,42,0.417731481,0.250654484,0.302635453,0.460194631,0.263453389,0.324956381,0.452656453,0.262045462,0.269339866,0.424297787,0.002547907
orange,43,0.396574074,0.250689604,0.360972432,0.303626699,0.267453664,0.373724148,0.318818995,0.213106258,0.334419767,0.276986801,0.005961063
orange,44,0.217083333,0.194555204,0.332106792,0.282363066,0.198833699,0.309888809,0.274041464,0.183262339,0.314788032,0.260930327,0.004546513
orange,45,0.122361111,0.181403823,0.198489906,0.184000895,0.184876857,0.209295674,0.192879321,0.190675857,0.219080441,0.199720267,0.020403972
orange,46,0.16337963,0.20239916,0.203355059,0.187209249,0.203781879,0.210782828,0.193668933,0.204879237,0.227782017,0.205141266,0.014141179
orange,47,0.100185185,0.177216333,0.195307155,0.177827804,0.180068362,0.192822511,0.18106476,0.185719598,0.204362835,0.18917695,0.021714293
orange,48,0.131157407,0.176608573,0.195265431,0.178007823,0.178127105,0.192690208,0.181071839,0.184450395,0.205196487,0.189800681,0.017836378
orange,49,0.281759259,0.269783884,0.418927952,0.359469035,0.27729888,0.420096542,0.361376059,0.256578034,0.447440047,0.382271873,0.007628141
orange,50,0.383564815,0.327596395,0.421931657,0.360885354,0.312482341,0.41940041,0.360278129,0.382515482,0.454441188,0.386276735,0.009429582
orange,51,0.849722222,0.417408748,0.508627008,0.586396742,0.414675781,0.477265583,0.550595559,0.445520252,0.464274071,0.553063112,0.025770446
orange,52,0.648009259,0.424042575,0.501799535,0.582848617,0.41513303,0.46430922,0.542106889,0.472242689,0.468973983,0.555759706,0.122495294
orange,53,0.859490741,0.364219027,0.47228045,0.568627212,0.368317765,0.441545275,0.528959001,0.401047264,0.441882289,0.539528195,0.247322678
orange,54,0.348981481,0.275111277,0.387713604,0.317796486,0.261843263,0.36171324,0.308656426,0.222773039,0.379831441,0.305791967,0.007714532
orange,55,0.170555556,0.196184506,0.294378917,0.248193917,0.193977946,0.281959057,0.240455559,0.209103518,0.337046271,0.277073444,0.012125434
orange,56,0.12125,0.175497674,0.173159328,0.164710214,0.177002371,0.164293259,0.162561865,0.181924303,0.18802748,0.178351361,0.018784886
orange,57,0.424444444,0.314122904,0.405386546,0.348595482,0.297381075,0.396204461,0.343999496,0.396216632,0.438640903,0.375703012,0.024656375
orange,58,0.823194444,0.402048188,0.476131585,0.566702517,0.381165171,0.430249743,0.519872367,0.470330715,0.451094382,0.543877267,0.246423498
lime,1,0.108009259,0.177787077,0.162136188,0.15315448,0.180557536,0.165350096,0.157911233,0.192978442,0.164140363,0.159236563,0.00034355
lime,2,0.109907407,0.181383405,0.162080504,0.153533765,0.184794016,0.164699563,0.15759104,0.196631463,0.157669686,0.155186414,0.000800866
lime,3,0.106064815,0.18162165,0.170006051,0.158761492,0.183985157,0.180954789,0.168447676,0.199466257,0.162273028,0.158433543,0.000727426
lime,4,0.098981481,0.150409006,0.167074746,0.156420172,0.18848581,0.177043505,0.165751112,0.158285087,0.162332067,0.158016623,0.000226846
lime,5,0.074027778,0.175636246,0.158484135,0.150093933,0.175535374,0.163970128,0.15322168,0.182289318,0.156755795,0.150294744,6.84E-05
lime,6,0.0775,0.176490499,0.168442008,0.156596713,0.177298153,0.178224889,0.162856472,0.184508464,0.162503966,0.154381683,2.29E-05
lime,7,0.089444444,0.174462443,0.167352882,0.155489628,0.178171482,0.172541895,0.158806585,0.188007349,0.163048563,0.154161536,6.81E-06
lime,8,0.069259259,0.172063585,0.160791954,0.151605046,0.171337811,0.155370593,0.147362204,0.175829115,0.158505709,0.150894104,6.31E-05
lime,9,0.090833333,0.172063585,0.182411696,0.165886514,0.171338769,0.169564311,0.156717511,0.17594636,0.168472923,0.157682049,3.31E-05
lime,10,0.067546296,0.172063585,0.154723649,0.153739363,0.171335666,0.147093471,0.155481974,0.175768318,0.161228057,0.154485062,0.000792238
lime,11,0.093888889,0.172059708,0.176358751,0.162830322,0.170543401,0.172577786,0.162872446,0.175829908,0.162178661,0.158079693,0.000563568
lime,12,0.071481481,0.172060492,0.160847537,0.152845154,0.171111595,0.155990433,0.151864254,0.1753865,0.157878338,0.154969696,0.000605025
lime,13,0.100787037,0.172068999,0.18247481,0.167133315,0.171131029,0.170400836,0.16142242,0.175366168,0.167663694,0.16160206,5.82E-05
lime,14,0.076990741,0.172063585,0.153818362,0.147117809,0.171336465,0.145162326,0.140448213,0.175291115,0.155364062,0.148517202,4.62E-05
lime,15,0.091666667,0.172063585,0.169623269,0.157840544,0.171336075,0.154978313,0.147136412,0.17529584,0.17506647,0.162489387,3.10E-05
lime,16,0.073101852,0.172063585,0.144960699,0.146929871,0.171335666,0.140535769,0.150967876,0.175291549,0.160764038,0.154137199,0.000117373
lime,17,0.110324074,0.172063585,0.154725972,0.148847024,0.171335706,0.147017903,0.145829059,0.17528978,0.16039661,0.156638562,0.000638593
lime,18,0.086018519,0.172063585,0.143440465,0.14098432,0.171335666,0.14022691,0.14115342,0.17528978,0.152128088,0.150790579,0.000643929
lime,19,0.080648148,0.172063585,0.144960699,0.142036082,0.171335666,0.140535769,0.141377557,0.17528978,0.160304538,0.156556746,3.75E-05
lime,20,0.072037037,0.172063585,0.14325466,0.140893114,0.171335666,0.140047215,0.141063816,0.17528978,0.149754693,0.149107901,3.53E-05
lime,21,0.206157407,0.236826892,0.164537706,0.356726419,0.238396902,0.166457291,0.280672621,0.224920444,0.159763758,0.345767382,0.001807912
lime,22,0.165648148,0.201099703,0.160576609,0.152240251,0.240982696,0.162355947,0.155799988,0.193911805,0.158901093,0.15547482,0.000675529
lime,23,0.043564815,0.190895995,0.145075774,0.145953324,0.199406474,0.145239659,0.150101282,0.1918326,0.156778755,0.156033172,0.001600387
lime,24,0.072731481,0.222083187,0.148714473,0.156397554,0.238041271,0.150776113,0.16710802,0.21004294,0.159709754,0.161767035,0.001743126
lime,25,0.073101852,0.239466626,0.152992671,0.158997109,0.264183712,0.158183095,0.171809456,0.222506902,0.165163136,0.165580488,0.00288031
lime,26,0.118564815,0.198570414,0.167569189,0.163586541,0.253001596,0.165191272,0.17454537,0.185635782,0.237877051,0.208932876,0.002861608
lime,27,0.146388889,0.172069352,0.164681462,0.163985981,0.220277222,0.160828736,0.164598373,0.169476831,0.235228032,0.266269498,8.72E-06
lime,28,0.067268519,0.19262085,0.160203914,0.161964554,0.2108679,0.166664847,0.183519509,0.194237859,0.159083438,0.153504509,0.000162253
lime,29,0.085648148,0.19641445,0.169547819,0.16369453,0.222449383,0.17953773,0.177517274,0.19913867,0.160158411,0.15412342,3.07E-05
lime,30,0.098657407,0.161208196,0.16480776,0.160281138,0.218920675,0.173686421,0.173178302,0.162245824,0.158597676,0.152533482,0.000487924
lime,31,0.067175926,0.172405917,0.177215625,0.168485055,0.179571681,0.18046717,0.178134709,0.177678873,0.165168331,0.157551662,0.001001492
lime,32,0.074675926,0.172063585,0.160357672,0.157668041,0.176398234,0.156405779,0.161840461,0.177226113,0.171731642,0.161881223,0.001081375
lime,33,0.710648148,0.271880327,0.289301673,0.442909293,0.258649003,0.256566848,0.343158669,0.235331525,0.238639105,0.400874281,0.033714125
lime,34,0.664212963,0.372419238,0.433732105,0.542263369,0.325624663,0.353287979,0.411428372,0.329144424,0.350036716,0.478014142,0.093090756
lime,35,0.457268519,0.385340894,0.436051709,0.538916809,0.346834436,0.344627231,0.405686235,0.372711207,0.433704065,0.528792901,0.060642269
lime,36,0.39212963,0.252869944,0.307518174,0.46750682,0.207573172,0.234157614,0.332766985,0.286424686,0.333596905,0.470832891,0.049353499
lime,37,0.232777778,0.253573173,0.259918959,0.236603676,0.277455263,0.286809778,0.269142539,0.216283489,0.199037133,0.182153494,0.005534527
lime,38,0.186018519,0.332903703,0.382435072,0.318694942,0.374430182,0.410637162,0.35065402,0.246094763,0.260955279,0.225688829,0.003732864
