Participant,Concept,Color,Rating
1,Grapefruit,56,0.13
1,Grapefruit,57,0.5975
1,Grapefruit,58,0.62
1,Strawberry,1,0.1675
1,Strawberry,2,0.09
1,Strawberry,3,0.3
1,Strawberry,4,0.2325
1,Strawberry,5,0.14
1,Strawberry,6,0.2425
1,Strawberry,7,0.2075
1,Strawberry,8,0.67
1,Strawberry,9,0.74
1,Strawberry,10,0.715
1,Strawberry,11,0.0075
1,Strawberry,12,0.2025
1,Strawberry,13,0.165
1,Strawberry,14,0.1975
1,Strawberry,15,0.245
1,Strawberry,16,0.485
1,Strawberry,17,0.1875
1,Strawberry,18,0.1925
1,Strawberry,19,0
1,Strawberry,20,0.13
1,Strawberry,21,0.2325
1,Strawberry,22,0.205
1,Strawberry,23,0
1,Strawberry,24,0
1,Strawberry,25,0.11
1,Strawberry,26,0.295
1,Strawberry,27,0.3425
1,Strawberry,28,0.84
1,Strawberry,29,0.83
1,Strawberry,30,0.63
1,Strawberry,31,0.94
1,Strawberry,32,0.9325
1,Strawberry,33,0.72
1,Strawberry,34,0.72
1,Strawberry,35,0.57
1,Strawberry,36,0.5
1,Strawberry,37,0.2825
1,Strawberry,38,0.19
1,Strawberry,39,0.24
1,Strawberry,40,0.1675
1,Strawberry,41,0.24
1,Strawberry,42,0.2125
1,Strawberry,43,0.895
1,Strawberry,44,0.9775
1,Strawberry,45,0.3
1,Strawberry,46,0.6125
1,Strawberry,47,0.69
1,Strawberry,48,0.6525
1,Strawberry,49,0.345
1,Strawberry,50,0.4175
1,Strawberry,51,0.3275
1,Strawberry,52,0.17
1,Strawberry,53,0.62
1,Strawberry,54,1
1,Strawberry,55,0.3125
1,Strawberry,56,0.6875
1,Strawberry,57,0.29
1,Strawberry,58,0.3525
1,Raspberry,1,0.37
1,Raspberry,2,0.3675
1,Raspberry,3,0.285
1,Raspberry,4,0.26
1,Raspberry,5,0.055
1,Raspberry,6,0.665
1,Raspberry,7,0.59
1,Raspberry,8,0.8675
1,Raspberry,9,0.82
1,Raspberry,10,0.63
1,Raspberry,11,0.115
1,Raspberry,12,0.135
1,Raspberry,13,0.7825
1,Raspberry,14,0.105
1,Raspberry,15,0.65
1,Raspberry,16,0.58
1,Raspberry,17,0.125
1,Raspberry,18,0.1275
1,Raspberry,19,0.2
1,Raspberry,20,0.5625
1,Raspberry,21,0.3325
1,Raspberry,22,0.305
1,Raspberry,23,0.6
1,Raspberry,24,0.2475
1,Raspberry,25,0.085
1,Raspberry,26,0.2975
1,Raspberry,27,0.3375
1,Raspberry,28,0.8725
1,Raspberry,29,0.7625
1,Raspberry,30,0.5925
1,Raspberry,31,0.8325
1,Raspberry,32,0.8075
1,Raspberry,33,0.0025
1,Raspberry,34,0.505
1,Raspberry,35,0.47
1,Raspberry,36,0.5275
1,Raspberry,37,0.235
1,Raspberry,38,0.225
1,Raspberry,39,0.2825
1,Raspberry,40,0.66
1,Raspberry,41,0.5625
1,Raspberry,42,0.14
1,Raspberry,43,0.6225
1,Raspberry,44,0.8875
1,Raspberry,45,0.525
1,Raspberry,46,0.555
1,Raspberry,47,0.4975
1,Raspberry,48,0.5525
1,Raspberry,49,0.1725
1,Raspberry,50,0.2175
1,Raspberry,51,0.335
1,Raspberry,52,0.38
1,Raspberry,53,0.5875
1,Raspberry,54,0.8775
1,Raspberry,55,0.2975
1,Raspberry,56,0.545
1,Raspberry,57,0.255
1,Raspberry,58,0.5475
1,Blueberry,1,0.79
1,Blueberry,2,0.9775
1,Blueberry,3,0.77
1,Blueberry,4,0.725
1,Blueberry,5,0.695
1,Blueberry,6,0.6125
1,Blueberry,7,0.3225
1,Blueberry,8,0.1875
1,Blueberry,9,0.06
1,Blueberry,10,0.1675
1,Blueberry,11,0.925
1,Blueberry,12,0.9675
1,Blueberry,13,0.875
1,Blueberry,14,0.595
1,Blueberry,15,0.1875
1,Blueberry,16,0.11
1,Blueberry,17,0.9525
1,Blueberry,18,1
1,Blueberry,19,0.7475
1,Blueberry,20,0.71
1,Blueberry,21,0.6825
1,Blueberry,22,0.73
1,Blueberry,23,0.7625
1,Blueberry,24,0.57
1,Blueberry,25,0.5
1,Blueberry,26,0.665
1,Blueberry,27,0.5
1,Blueberry,28,0.8125
1,Blueberry,29,0.335
1,Blueberry,30,0.245
1,Blueberry,31,0.245
1,Blueberry,32,0.12
1,Blueberry,33,0.195
1,Blueberry,34,0.5225
1,Blueberry,35,0.62
1,Blueberry,36,0.83
1,Blueberry,37,0.58
1,Blueberry,38,0.265
1,Blueberry,39,0.5075
1,Blueberry,40,0.095
1,Blueberry,41,0.25
1,Blueberry,42,0.2725
1,Blueberry,43,0.1725
1,Blueberry,44,0
1,Blueberry,45,0.6525
1,Blueberry,46,0.515
1,Blueberry,47,0.5525
1,Blueberry,48,0.5175
1,Blueberry,49,0.43
1,Blueberry,50,0.325
1,Blueberry,51,0.23
1,Blueberry,52,0.275
1,Blueberry,53,0.1575
1,Blueberry,54,0.1175
1,Blueberry,55,0.16
1,Blueberry,56,0.59
1,Blueberry,57,0.285
1,Blueberry,58,0.2225
1,Avocado,1,0.265
1,Avocado,2,0.0875
1,Avocado,3,0.1825
1,Avocado,4,0.1575
1,Avocado,5,0
1,Avocado,6,0.23
1,Avocado,7,0.3275
1,Avocado,8,0.015
1,Avocado,9,0.03
1,Avocado,10,0.0525
1,Avocado,11,0.0725
1,Avocado,12,0.0575
1,Avocado,13,0.075
1,Avocado,14,0.0125
1,Avocado,15,0.205
1,Avocado,16,0.025
1,Avocado,17,0.145
1,Avocado,18,0.0175
1,Avocado,19,0.145
1,Avocado,20,0.1775
1,Avocado,21,0.6575
1,Avocado,22,0.4
1,Avocado,23,1
